選手名,チーム,試合,打率,本塁打,打点,安打,盗塁,出塁率,長打率,OPS,打席
田中 千晴,楽天,15,0,0,0,0,0,0,0,0,0
津留﨑 大成,楽天,17,0,0,0,0,0,0,0,0,0
中込 陽翔,楽天,7,0,0,0,0,0,0,0,0,0
中島 大輔,楽天,55,0.227,1,10,32,4,0.283,0.34,0.623,158
西垣 雅矢,楽天,29,0,0,0,0,0,0,0,0,0
早川 隆久,楽天,10,0,0,0,0,0,0,0,0,2
日當 直喜,楽天,1,0,0,0,0,0,0,0,0,0
藤井 聖,楽天,8,0,0,0,0,0,0,0,0,0
藤平 尚真,楽天,26,0,0,0,0,0,0,0,0,0
藤原 聡大,楽天,9,0,0,0,0,0,0,0,0,0
ボイト,楽天,20,0.119,0,3,8,0,0.189,0.164,0.353,74
堀内 謙伍,楽天,16,0.25,0,1,8,0,0.314,0.344,0.658,36
マッカスカー,楽天,33,0.257,6,24,28,0,0.333,0.468,0.801,123
前田 健太,楽天,7,0,0,0,0,0,0,0,0,1
武藤 敦貴,楽天,10,0.133,0,0,2,1,0.188,0.133,0.321,16
村林 一輝,楽天,71,0.282,4,36,72,1,0.342,0.38,0.722,284
陽 柏翔,楽天,1,0,0,0,0,0,0,0,0,1
吉野 創士,楽天,7,0.111,0,0,1,0,0.111,0.111,0.222,9
YG安田,楽天,16,0.154,1,4,6,0,0.214,0.308,0.522,42
ワォーターズ,楽天,9,0.25,0,0,2,0,0.25,0.375,0.625,8
渡辺 翔太,楽天,6,0,0,0,0,0,0,0,0,0
渡邊 佳明,楽天,45,0.264,1,14,28,0,0.316,0.358,0.674,119
青山 美夏人,西武,2,0,0,0,0,0,0,0,0,0
秋山 俊,西武,5,0.143,0,0,2,0,0.143,0.143,0.286,14
石井 一成,西武,39,0.25,3,7,30,0,0.286,0.4,0.686,126
糸川 亮太,西武,9,0,0,0,0,0,0,0,0,0
岩城 颯空,西武,26,0,0,0,0,0,0,0,0,0
ウィンゲンター,西武,7,0,0,0,0,0,0,0,0,0
上田 大河,西武,10,0,0,0,0,0,0,0,0,0
カナリオ,西武,69,0.257,8,32,64,7,0.312,0.398,0.71,269
甲斐野 央,西武,31,0,0,0,0,0,0,0,0,0
岸 潤一郎,西武,55,0.208,1,9,20,2,0.264,0.313,0.577,110
栗山 巧,西武,10,0.111,0,0,1,0,0.2,0.111,0.311,10
黒田 将矢,西武,20,0,0,0,0,0,0,0,0,0
桑原 将志,西武,48,0.251,2,14,47,2,0.32,0.353,0.673,207
源田 壮亮,西武,64,0.192,1,15,30,0,0.273,0.25,0.523,183
古賀 悠斗,西武,59,0.295,3,20,38,2,0.374,0.395,0.769,152
小島 大河,西武,45,0.252,2,9,40,0,0.27,0.327,0.597,163
児玉 亮涼,西武,5,0,0,0,0,0,0,0,0,0
佐藤 隼輔,西武,17,0,0,0,0,0,0,0,0,0
佐藤 爽,西武,4,0,0,0,0,0,0,0,0,0
佐藤 太陽,西武,8,0.2,1,1,2,0,0.2,0.5,0.7,10
篠原 響,西武,25,0,0,0,0,0,0,0,0,0
菅井 信也,西武,7,0,0,0,0,0,0,0,0,0
隅田 知一郎,西武,12,0,0,1,0,0,0,0,0,3
平良 海馬,西武,12,0.167,0,0,1,0,0.167,0.167,0.334,6
髙橋 光成,西武,12,0.333,0,0,1,0,0.333,0.333,0.666,3
滝澤 夏央,西武,69,0.283,1,15,60,8,0.374,0.325,0.699,256
武内 夏暉,西武,11,0,0,0,0,0,0,0,0,4
茶野 篤政,西武,16,0.143,0,0,1,0,0.25,0.143,0.393,8
柘植 世那,西武,16,0.345,0,1,10,0,0.367,0.414,0.781,33
外崎 修汰,西武,11,0.189,1,5,7,0,0.262,0.297,0.559,42
仲田 慶介,西武,9,0.1,0,0,1,0,0.1,0.3,0.4,10
仲三 優太,西武,8,0.087,1,2,2,0,0.192,0.217,0.409,26
中村 祐太,西武,10,0,0,0,0,0,0,0,0,0
成田 晴風,西武,1,0,0,0,0,0,0,0,0,0
西川 愛也,西武,59,0.213,2,15,38,4,0.231,0.292,0.523,190
ネビン,西武,37,0.299,11,27,40,0,0.362,0.612,0.974,152
長谷川 信哉,西武,67,0.291,9,30,60,6,0.35,0.5,0.85,232
羽田 慎之介,西武,8,0,0,0,0,0,0,0,0,0
浜屋 将太,西武,21,0,0,0,0,0,0,0,0,0
平沢 大河,西武,45,0.278,2,13,42,1,0.337,0.377,0.714,167
冨士 大和,西武,2,0,0,0,0,0,0,0,0,0
堀越 啓太,西武,2,0,0,0,0,0,0,0,0,0
豆田 泰志,西武,9,0,0,0,0,0,0,0,0,0
山村 崇嘉,西武,18,0.186,1,5,8,0,0.255,0.256,0.511,48
Ｅ．ラミレス,西武,4,0,0,0,0,0,0,0,0,0
林 安可,西武,39,0.193,2,10,23,0,0.262,0.319,0.581,130
ワイナンス,西武,6,0,0,0,0,0,0,0,0,2
渡部 聖弥,西武,74,0.255,7,32,75,1,0.289,0.361,0.65,308
渡邉 勇太朗,西武,12,0,0,0,0,0,0,0,0,5
阿部 翔太,オリックス,2,0,0,0,0,0,0,0,0,0
池田 陵真,オリックス,1,0,0,0,0,0,0.25,0,0.25,4
石川 亮,オリックス,2,0,0,0,0,0,0,0,0,0
入山 海斗,オリックス,25,0,0,0,0,0,0,0,0,0
岩嵜 翔,オリックス,8,0,0,0,0,0,0,0,0,0
エスピノーザ,オリックス,12,0,0,0,0,0,0,0,0,5
大城 滉二,オリックス,10,0.313,0,3,5,0,0.313,0.375,0.688,16
太田 椋,オリックス,59,0.275,4,27,58,0,0.361,0.412,0.773,241
片山 楽生,オリックス,12,0,0,0,0,0,0,0,0,1
川瀬 堅斗,オリックス,5,0,0,0,0,0,0,0,0,0
来田 涼斗,オリックス,37,0.25,0,10,22,1,0.292,0.307,0.599,98
宜保 翔,オリックス,17,0.154,0,0,4,2,0.214,0.154,0.368,29
窪田 洋祐,オリックス,2,0,0,0,0,0,0,0,0,1
九里 亜蓮,オリックス,14,0,0,0,0,0,0,0,0,6
紅林 弘太郎,オリックス,66,0.245,10,23,54,0,0.32,0.414,0.734,249
古田島 成龍,オリックス,6,0,0,0,0,0,0,0,0,0
権田 琉成,オリックス,12,0,0,0,0,0,0,0,0,0
才木 海翔,オリックス,1,0,0,0,0,0,0,0,0,0
佐藤 一磨,オリックス,4,0,0,0,0,0,0,0,0,0
シーモア,オリックス,38,0.168,3,15,22,0,0.191,0.267,0.458,136
ジェリー,オリックス,12,0,0,0,0,0,0,0,0,1
杉澤 龍,オリックス,16,0.385,1,5,15,1,0.444,0.641,1.085,46
杉本 裕太郎,オリックス,15,0.128,0,5,5,0,0.163,0.179,0.342,43
曽谷 龍平,オリックス,8,0,0,0,0,0,0,0,0,5
髙島 泰都,オリックス,11,0,0,0,0,0,0,0,0,0
髙谷 舟,オリックス,1,0,0,0,0,0,0,0,0,0
田嶋 大樹,オリックス,8,1,0,0,1,0,1,1,2,1
寺西 成騎,オリックス,23,0,0,0,0,0,0,0,0,0
東松 快征,オリックス,5,0,0,0,0,0,0,0,0,0
内藤 鵬,オリックス,1,0.5,0,0,2,0,0.5,0.75,1.25,4
中川 圭太,オリックス,66,0.265,4,24,63,2,0.326,0.37,0.696,265
西川 龍馬,オリックス,73,0.297,3,29,87,1,0.334,0.389,0.723,312
西野 真弘,オリックス,29,0.182,0,0,14,0,0.241,0.208,0.449,85
野口 智哉,オリックス,44,0.22,2,14,18,0,0.253,0.341,0.594,89
平沼 翔太,オリックス,17,0.261,0,2,6,0,0.292,0.304,0.596,24
平野 佳寿,オリックス,2,0,0,0,0,0,0,0,0,0
廣岡 大志,オリックス,13,0.191,0,3,9,0,0.235,0.191,0.426,51
博志,オリックス,12,0,0,0,0,0,0,0,0,0
福永 奨,オリックス,9,0,0,0,0,0,0,0,0,5
ペルドモ,オリックス,10,0,0,0,0,0,0,0,0,0
マチャド,オリックス,26,0,0,0,0,0,0,0,0,0
宮城 大弥,オリックス,3,0,0,0,0,0,0,0,0,0
宮國 凌空,オリックス,2,0,0,0,0,0,0,0,0,0
麦谷 祐介,オリックス,30,0.12,1,4,3,1,0.148,0.32,0.468,28
椋木 蓮,オリックス,27,0,0,0,0,0,0,0,0,0
宗 佑磨,オリックス,68,0.241,6,26,56,3,0.343,0.366,0.709,271
森 友哉,オリックス,45,0.261,5,17,42,0,0.324,0.41,0.734,176
山岡 泰輔,オリックス,1,0,0,0,0,0,0,0,0,0
山﨑 颯一郎,オリックス,28,0,0,0,0,0,0,0,0,0
山田 修義,オリックス,8,0,0,0,0,0,0,0,0,0
山中 稜真,オリックス,30,0.343,0,12,36,2,0.407,0.4,0.807,118
横山 楓,オリックス,7,0,0,0,0,0,0,0,0,0
横山 聖哉,オリックス,6,0.154,0,0,2,0,0.154,0.154,0.308,14
吉田 輝星,オリックス,20,0,0,0,0,0,0,0,0,0
若月 健矢,オリックス,58,0.217,1,12,34,0,0.285,0.299,0.584,183
渡部 遼人,オリックス,49,0.265,3,10,36,12,0.359,0.36,0.719,163
愛斗,ロッテ,15,0.229,1,8,8,1,0.25,0.4,0.65,36
東妻 勇輔,ロッテ,1,0,0,0,0,0,0,0,0,0
池田 来翔,ロッテ,46,0.269,0,1,18,4,0.279,0.358,0.637,70
石川 慎吾,ロッテ,9,0.125,1,5,3,0,0.25,0.25,0.5,28
石垣 勝海,ロッテ,1,0,0,0,0,0,0,0,0,3
井上 広大,ロッテ,26,0.151,3,6,8,0,0.179,0.321,0.5,56
上田 希由翔,ロッテ,21,0.175,3,4,11,0,0.224,0.365,0.589,67
岡 大海,ロッテ,26,0.133,0,0,6,2,0.204,0.156,0.36,50
小川 龍成,ロッテ,69,0.278,0,11,63,3,0.308,0.308,0.616,244
小島 和哉,ロッテ,9,0,0,0,0,0,0,0,0,3
小野 郁,ロッテ,17,0,0,0,0,0,0,0,0,0
カスティーヨ,ロッテ,2,0,0,0,0,0,0,0,0,0
唐川 侑己,ロッテ,1,0,0,0,0,0,0,0,0,0
河村 説人,ロッテ,2,0,0,0,0,0,0,0,0,0
菊地 吏玖,ロッテ,2,0,0,0,0,0,0,0,0,0
木村 優人,ロッテ,3,0,0,0,0,0,0,0,0,0
坂本 光士郎,ロッテ,12,0,0,0,0,0,0,0,0,0
櫻井 ユウヤ,ロッテ,2,0,0,0,0,0,0,0,0,2
佐藤 都志也,ロッテ,63,0.249,9,30,44,1,0.357,0.446,0.803,210
澤田 圭佑,ロッテ,26,0,0,0,0,0,0,0,0,0
ジャクソン,ロッテ,13,0.2,0,0,1,0,0.2,0.2,0.4,5
鈴木 昭汰,ロッテ,28,0,0,0,0,0,0,0,0,0
ソト,ロッテ,62,0.25,8,25,46,0,0.322,0.44,0.762,205
高野 脩汰,ロッテ,22,0,0,0,0,0,0,0,0,0
髙部 瑛斗,ロッテ,44,0.213,0,2,26,3,0.262,0.23,0.492,130
田中 晴也,ロッテ,10,0,0,0,0,0,0,0,0,2
種市 篤暉,ロッテ,2,0,0,0,0,0,0,0,0,0
田村 龍弘,ロッテ,2,0,0,0,0,0,0,0,0,3
寺地 隆成,ロッテ,56,0.173,3,13,33,0,0.241,0.23,0.471,213
友杉 篤輝,ロッテ,68,0.252,0,14,53,3,0.293,0.29,0.583,229
中森 俊介,ロッテ,17,0,0,0,0,0,0,0,0,0
西川 史礁,ロッテ,70,0.287,6,30,79,2,0.355,0.404,0.759,304
西野 勇士,ロッテ,6,0,0,0,0,0,0,0,0,0
廣池 康志郎,ロッテ,11,0,0,0,0,0,0,0,0,4
廣畑 敦也,ロッテ,4,0,0,0,0,0,0,0,0,0
藤岡 裕大,ロッテ,9,0.136,0,1,3,0,0.2,0.136,0.336,26
藤原 恭大,ロッテ,36,0.288,2,17,38,4,0.399,0.379,0.778,158
ポランコ,ロッテ,52,0.188,5,14,25,0,0.262,0.361,0.623,149
益田 直也,ロッテ,18,0,0,0,0,0,0,0,0,0
松川 虎生,ロッテ,27,0.224,0,6,13,0,0.237,0.259,0.496,62
宮﨑 颯,ロッテ,4,0,0,0,0,0,0,0,0,0
宮崎 竜成,ロッテ,33,0.148,1,1,4,0,0.179,0.296,0.475,28
毛利 海大,ロッテ,10,0,0,0,0,0,0,0,0,2
八木 彬,ロッテ,22,0,0,0,0,0,0,0,0,0
安田 尚憲,ロッテ,16,0.267,2,4,12,0,0.327,0.422,0.749,49
山口 航輝,ロッテ,43,0.273,12,29,38,0,0.301,0.604,0.905,146
山﨑 剛,ロッテ,5,0.25,0,0,2,0,0.333,0.25,0.583,9
山本 大斗,ロッテ,43,0.178,1,5,13,0,0.265,0.274,0.539,83
横山 陸人,ロッテ,33,0,0,0,0,0,0,0,0,0
ロング,ロッテ,18,0,0,0,0,0,0,0,0,2
和田 康士朗,ロッテ,24,0.227,0,1,5,4,0.32,0.227,0.547,27
